,10090,10181,29073,6239,7227,7955,9544,9606,9685,9785,9913,9940,9986
OG0000304,"['10090.ENSMUSP00000005292', '10090.ENSMUSP00000025961', '10090.ENSMUSP00000026328', '10090.ENSMUSP00000114159']","['10181.XP_004838887.1', '10181.XP_004872272.1', '10181.XP_004872451.1']","['29073.XP_008683317.1', '29073.XP_008694706.1', '29073.XP_008697506.1', '29073.XP_008709963.1']","['6239.F09E5.15b', '6239.R07E5.2']","['7227.FBpp0072852', '7227.FBpp0073594', '7227.FBpp0075397', '7227.FBpp0082927']","['7955.ENSDARP00000040396', '7955.ENSDARP00000041699', '7955.ENSDARP00000076104', '7955.ENSDARP00000090833']","['9544.ENSMMUP00000007512', '9544.ENSMMUP00000008176', '9544.ENSMMUP00000010873', '9544.ENSMMUP00000028144', '9544.ENSMMUP00000036447']","['9606.ENSP00000262746', '9606.ENSP00000298510', '9606.ENSP00000301522', '9606.ENSP00000368646']","['9685.ENSFCAP00000000438', '9685.ENSFCAP00000003718', '9685.ENSFCAP00000009897', '9685.ENSFCAP00000024005']","['9785.ENSLAFP00000002248', '9785.ENSLAFP00000014583', '9785.ENSLAFP00000023453']","['9913.ENSBTAP00000004751', '9913.ENSBTAP00000008107', '9913.ENSBTAP00000011505', '9913.ENSBTAP00000015996']","['9940.ENSOARP00000001787', '9940.ENSOARP00000001874', '9940.ENSOARP00000011580', '9940.ENSOARP00000017822']","['9986.ENSOCUP00000004138', '9986.ENSOCUP00000005148', '9986.ENSOCUP00000014895', '9986.ENSOCUP00000027016']"
OG0003013,['10090.ENSMUSP00000028683'],['10181.XP_004861800.1'],['29073.XP_008700533.1'],['6239.H06O01.1.1'],"['7227.FBpp0081811', '7227.FBpp0087164']","['7955.ENSDARP00000023877', '7955.ENSDARP00000122352', '7955.ENSDARP00000129394']",['9544.ENSMMUP00000002254'],['9606.ENSP00000300289'],['9685.ENSFCAP00000006138'],['9785.ENSLAFP00000023403'],['9913.ENSBTAP00000022854'],['9940.ENSOARP00000011702'],"['9986.ENSOCUP00000001003', '9986.ENSOCUP00000020503']"
OG0011749,['10090.ENSMUSP00000076521'],['10181.XP_004860525.1'],['29073.XP_008695615.1'],['6239.C14B9.2'],[],['7955.ENSDARP00000018458'],[],['9606.ENSP00000286091'],['9685.ENSFCAP00000007991'],['9785.ENSLAFP00000026080'],['9913.ENSBTAP00000022782'],['9940.ENSOARP00000020282'],['9986.ENSOCUP00000001421']
OG0000066,"['10090.ENSMUSP00000015866', '10090.ENSMUSP00000041908', '10090.ENSMUSP00000045077', '10090.ENSMUSP00000046503', '10090.ENSMUSP00000065508', '10090.ENSMUSP00000066841', '10090.ENSMUSP00000072895', '10090.ENSMUSP00000075794', '10090.ENSMUSP00000081819', '10090.ENSMUSP00000083106', '10090.ENSMUSP00000098707', '10090.ENSMUSP00000104024', '10090.ENSMUSP00000104293', '10090.ENSMUSP00000113095']","['10181.XP_004863570.1', '10181.XP_004867221.1', '10181.XP_004921286.1']","['29073.XP_008682070.1', '29073.XP_008695463.1', '29073.XP_008699840.1', '29073.XP_008707999.1', '29073.XP_008708164.1', '29073.XP_008708176.1', '29073.XP_008710248.1']",[],['7227.FBpp0087742'],['7955.ENSDARP00000117703'],"['9544.ENSMMUP00000007828', '9544.ENSMMUP00000007829', '9544.ENSMMUP00000011259', '9544.ENSMMUP00000016497', '9544.ENSMMUP00000022013', '9544.ENSMMUP00000026833', '9544.ENSMMUP00000031415', '9544.ENSMMUP00000031420', '9544.ENSMMUP00000031438', '9544.ENSMMUP00000031445', '9544.ENSMMUP00000033281']","['9606.ENSP00000299481', '9606.ENSP00000301295', '9606.ENSP00000331857', '9606.ENSP00000337383', '9606.ENSP00000343891', '9606.ENSP00000375063', '9606.ENSP00000375653', '9606.ENSP00000445135', '9606.ENSP00000467123']","['9685.ENSFCAP00000001890', '9685.ENSFCAP00000005198', '9685.ENSFCAP00000008667', '9685.ENSFCAP00000010670', '9685.ENSFCAP00000013894', '9685.ENSFCAP00000016408', '9685.ENSFCAP00000018243', '9685.ENSFCAP00000018722', '9685.ENSFCAP00000019379', '9685.ENSFCAP00000022307', '9685.ENSFCAP00000023106']","['9785.ENSLAFP00000000878', '9785.ENSLAFP00000001437', '9785.ENSLAFP00000010734', '9785.ENSLAFP00000011752', '9785.ENSLAFP00000017981', '9785.ENSLAFP00000022456', '9785.ENSLAFP00000022644', '9785.ENSLAFP00000028929']","['9913.ENSBTAP00000001675', '9913.ENSBTAP00000002954', '9913.ENSBTAP00000006201', '9913.ENSBTAP00000017623', '9913.ENSBTAP00000051793', '9913.ENSBTAP00000054745', '9913.ENSBTAP00000055476', '9913.ENSBTAP00000056032', '9913.ENSBTAP00000056628']","['9940.ENSOARP00000000498', '9940.ENSOARP00000001012', '9940.ENSOARP00000002124', '9940.ENSOARP00000002238', '9940.ENSOARP00000003372', '9940.ENSOARP00000003424', '9940.ENSOARP00000008143', '9940.ENSOARP00000017322', '9940.ENSOARP00000017438', '9940.ENSOARP00000019888']","['9986.ENSOCUP00000000403', '9986.ENSOCUP00000004733', '9986.ENSOCUP00000004989', '9986.ENSOCUP00000008333', '9986.ENSOCUP00000012880', '9986.ENSOCUP00000014204', '9986.ENSOCUP00000018965', '9986.ENSOCUP00000019453', '9986.ENSOCUP00000023322']"
OG0000955,"['10090.ENSMUSP00000030051', '10090.ENSMUSP00000099961']","['10181.XP_004848195.1', '10181.XP_004848522.1']","['29073.XP_008706156.1', '29073.XP_008706267.1']","['6239.B0228.5a', '6239.Y44E3A.3']","['7227.FBpp0070722', '7227.FBpp0079436']","['7955.ENSDARP00000045696', '7955.ENSDARP00000064788']","['9544.ENSMMUP00000004552', '9544.ENSMMUP00000012389', '9544.ENSMMUP00000013528', '9544.ENSMMUP00000013531', '9544.ENSMMUP00000015565', '9544.ENSMMUP00000021320']","['9606.ENSP00000363634', '9606.ENSP00000363641']","['9685.ENSFCAP00000004426', '9685.ENSFCAP00000021996']","['9785.ENSLAFP00000010748', '9785.ENSLAFP00000019591', '9785.ENSLAFP00000023998']","['9913.ENSBTAP00000013931', '9913.ENSBTAP00000041860']","['9940.ENSOARP00000007382', '9940.ENSOARP00000007408']","['9986.ENSOCUP00000003102', '9986.ENSOCUP00000016692', '9986.ENSOCUP00000027205']"
OG0000229,"['10090.ENSMUSP00000034207', '10090.ENSMUSP00000034211', '10090.ENSMUSP00000034214', '10090.ENSMUSP00000034215']","['10181.XP_004875579.1', '10181.XP_004875586.1', '10181.XP_004909817.1']","['29073.XP_008700836.1', '29073.XP_008700837.1', '29073.XP_008700839.1']",[],[],['7955.ENSDARP00000061006'],"['9544.ENSMMUP00000003333', '9544.ENSMMUP00000010159', '9544.ENSMMUP00000013591', '9544.ENSMMUP00000016441', '9544.ENSMMUP00000017999', '9544.ENSMMUP00000021190', '9544.ENSMMUP00000029276', '9544.ENSMMUP00000032407', '9544.ENSMMUP00000032410', '9544.ENSMMUP00000032412', '9544.ENSMMUP00000032417']","['9606.ENSP00000200691', '9606.ENSP00000219162', '9606.ENSP00000245185', '9606.ENSP00000307706', '9606.ENSP00000330587', '9606.ENSP00000334872', '9606.ENSP00000334998', '9606.ENSP00000377995', '9606.ENSP00000391397', '9606.ENSP00000476141', '9606.ENSP00000478425']","['9685.ENSFCAP00000008039', '9685.ENSFCAP00000023883']","['9785.ENSLAFP00000010729', '9785.ENSLAFP00000014532', '9785.ENSLAFP00000023348']","['9913.ENSBTAP00000002088', '9913.ENSBTAP00000002092', '9913.ENSBTAP00000020072', '9913.ENSBTAP00000022460', '9913.ENSBTAP00000034269', '9913.ENSBTAP00000043756']","['9940.ENSOARP00000019687', '9940.ENSOARP00000019691', '9940.ENSOARP00000019709', '9940.ENSOARP00000019726']","['9986.ENSOCUP00000006271', '9986.ENSOCUP00000013959', '9986.ENSOCUP00000014837', '9986.ENSOCUP00000016519', '9986.ENSOCUP00000018875', '9986.ENSOCUP00000025016']"
OG0004078,"['10090.ENSMUSP00000057781', '10090.ENSMUSP00000075551']",['10181.XP_004854424.1'],['29073.XP_008690968.1'],[],[],[],"['9544.ENSMMUP00000001601', '9544.ENSMMUP00000022224']","['9606.ENSP00000274565', '9606.ENSP00000349459']",['9685.ENSFCAP00000005672'],['9785.ENSLAFP00000017068'],['9913.ENSBTAP00000053591'],"['9940.ENSOARP00000004805', '9940.ENSOARP00000015380']",['9986.ENSOCUP00000007597']
OG0004403,['10090.ENSMUSP00000065754'],['10181.XP_004877238.1'],['29073.XP_008703305.1'],['6239.F43E2.5.1'],['7227.FBpp0075308'],"['7955.ENSDARP00000047361', '7955.ENSDARP00000072074']",['9544.ENSMMUP00000012283'],['9606.ENSP00000313921'],['9685.ENSFCAP00000011009'],['9785.ENSLAFP00000015652'],['9913.ENSBTAP00000028825'],['9940.ENSOARP00000016172'],['9986.ENSOCUP00000002920']
OG0012278,[],['10181.XP_004835210.1'],['29073.XP_008709526.1'],[],[],['7955.ENSDARP00000103107'],['9544.ENSMMUP00000010186'],['9606.ENSP00000372667'],['9685.ENSFCAP00000020964'],['9785.ENSLAFP00000018426'],['9913.ENSBTAP00000017071'],['9940.ENSOARP00000008044'],['9986.ENSOCUP00000013025']
OG0012399,['10090.ENSMUSP00000089358'],['10181.XP_004840336.1'],['29073.XP_008701738.1'],[],[],[],['9544.ENSMMUP00000013295'],['9606.ENSP00000199447'],['9685.ENSFCAP00000011766'],['9785.ENSLAFP00000004979'],['9913.ENSBTAP00000044371'],['9940.ENSOARP00000008843'],['9986.ENSOCUP00000013631']
OG0001528,"['10090.ENSMUSP00000033665', '10090.ENSMUSP00000093485']","['10181.XP_004866255.1', '10181.XP_004871535.1']","['29073.XP_008689449.1', '29073.XP_008694700.1']",['6239.F59A6.1'],['7227.FBpp0289484'],"['7955.ENSDARP00000012804', '7955.ENSDARP00000046640', '7955.ENSDARP00000092959', '7955.ENSDARP00000096594']","['9544.ENSMMUP00000021508', '9544.ENSMMUP00000022826']","['9606.ENSP00000345629', '9606.ENSP00000351908']","['9685.ENSFCAP00000007586', '9685.ENSFCAP00000011968']","['9785.ENSLAFP00000000494', '9785.ENSLAFP00000007906']","['9913.ENSBTAP00000011949', '9913.ENSBTAP00000026456']","['9940.ENSOARP00000000333', '9940.ENSOARP00000015834']","['9986.ENSOCUP00000012695', '9986.ENSOCUP00000013271']"
OG0008040,['10090.ENSMUSP00000025904'],['10181.XP_004852564.1'],['29073.XP_008707196.1'],[],['7227.FBpp0100079'],['7955.ENSDARP00000109990'],['9544.ENSMMUP00000017596'],['9606.ENSP00000265462'],"['9685.ENSFCAP00000019779', '9685.ENSFCAP00000020490']",['9785.ENSLAFP00000028880'],['9913.ENSBTAP00000011403'],['9940.ENSOARP00000007478'],[]
OG0008217,['10090.ENSMUSP00000052584'],['10181.XP_004855234.1'],['29073.XP_008702930.1'],[],[],['7955.ENSDARP00000018692'],['9544.ENSMMUP00000020845'],['9606.ENSP00000298910'],['9685.ENSFCAP00000001684'],"['9785.ENSLAFP00000013948', '9785.ENSLAFP00000027572']",['9913.ENSBTAP00000053353'],['9940.ENSOARP00000021442'],['9986.ENSOCUP00000006801']
OG0002390,"['10090.ENSMUSP00000022282', '10090.ENSMUSP00000030332']","['10181.XP_004848576.1', '10181.XP_004869296.1']","['29073.XP_008689638.1', '29073.XP_008697413.1']",[],[],"['7955.ENSDARP00000011955', '7955.ENSDARP00000123903']","['9544.ENSMMUP00000002145', '9544.ENSMMUP00000025852']","['9606.ENSP00000354677', '9606.ENSP00000423822']","['9685.ENSFCAP00000010766', '9685.ENSFCAP00000021520']","['9785.ENSLAFP00000003148', '9785.ENSLAFP00000010126']","['9913.ENSBTAP00000024329', '9913.ENSBTAP00000029279']","['9940.ENSOARP00000005922', '9940.ENSOARP00000008548']","['9986.ENSOCUP00000006326', '9986.ENSOCUP00000013114']"
OG0004286,['10090.ENSMUSP00000007012'],['10181.XP_004869082.1'],['29073.XP_008686725.1'],"['6239.C08A9.1', '6239.F10D11.1.2']",['7227.FBpp0086226'],['7955.ENSDARP00000062555'],['9544.ENSMMUP00000007739'],['9606.ENSP00000446252'],['9685.ENSFCAP00000002616'],['9785.ENSLAFP00000006160'],['9913.ENSBTAP00000008569'],['9940.ENSOARP00000004840'],['9986.ENSOCUP00000024372']
OG0012003,['10090.ENSMUSP00000098768'],['10181.XP_004847262.1'],[],[],[],"['7955.ENSDARP00000097881', '7955.ENSDARP00000116778']",['9544.ENSMMUP00000003508'],['9606.ENSP00000371554'],[],['9785.ENSLAFP00000016299'],['9913.ENSBTAP00000018580'],['9940.ENSOARP00000000485'],['9986.ENSOCUP00000006450']
OG0000837,"['10090.ENSMUSP00000026050', '10090.ENSMUSP00000052592']","['10181.XP_004866561.1', '10181.XP_004866563.1']","['29073.XP_008682448.1', '29073.XP_008682471.1']","['6239.C02D5.3', '6239.C02D5.4', '6239.C29E4.7', '6239.F13A7.10', '6239.K10F12.4a']","['7227.FBpp0076348', '7227.FBpp0076349', '7227.FBpp0076376', '7227.FBpp0076378']","['7955.ENSDARP00000032411', '7955.ENSDARP00000041256']","['9544.ENSMMUP00000020110', '9544.ENSMMUP00000020113', '9544.ENSMMUP00000040961']","['9606.ENSP00000345023', '9606.ENSP00000358727']","['9685.ENSFCAP00000005597', '9685.ENSFCAP00000017784']","['9785.ENSLAFP00000000191', '9785.ENSLAFP00000016981']","['9913.ENSBTAP00000005211', '9913.ENSBTAP00000006245', '9913.ENSBTAP00000017435']","['9940.ENSOARP00000001077', '9940.ENSOARP00000007986', '9940.ENSOARP00000008051', '9940.ENSOARP00000008085']","['9986.ENSOCUP00000007515', '9986.ENSOCUP00000007519']"
OG0001396,"['10090.ENSMUSP00000026122', '10090.ENSMUSP00000035584']","['10181.XP_004861017.1', '10181.XP_004873761.1']","['29073.XP_008692255.1', '29073.XP_008695254.1']","['6239.C07A12.4a.1', '6239.C14B1.1.1', '6239.M04D5.1']",['7227.FBpp0075401'],"['7955.ENSDARP00000012585', '7955.ENSDARP00000055010', '7955.ENSDARP00000093898']","['9544.ENSMMUP00000000812', '9544.ENSMMUP00000012107']","['9606.ENSP00000219406', '9606.ENSP00000327801']","['9685.ENSFCAP00000014505', '9685.ENSFCAP00000024392']","['9785.ENSLAFP00000001175', '9785.ENSLAFP00000025513']","['9913.ENSBTAP00000007943', '9913.ENSBTAP00000045224']","['9940.ENSOARP00000012409', '9940.ENSOARP00000019364']",['9986.ENSOCUP00000025171']
OG0003014,['10090.ENSMUSP00000023707'],['10181.XP_004842332.1'],['29073.XP_008700041.1'],"['6239.C15F1.7a', '6239.ZK430.3']",['7227.FBpp0305736'],['7955.ENSDARP00000064375'],['9544.ENSMMUP00000002283'],['9606.ENSP00000270142'],['9685.ENSFCAP00000002052'],"['9785.ENSLAFP00000008962', '9785.ENSLAFP00000028141']","['9913.ENSBTAP00000032384', '9913.ENSBTAP00000039139']","['9940.ENSOARP00000004609', '9940.ENSOARP00000008454']",['9986.ENSOCUP00000017459']
OG0011771,['10090.ENSMUSP00000033992'],['10181.XP_004855473.1'],['29073.XP_008684789.1'],['6239.C46F11.2a'],[],['7955.ENSDARP00000108870'],[],['9606.ENSP00000221130'],['9685.ENSFCAP00000001370'],[],['9913.ENSBTAP00000009363'],"['9940.ENSOARP00000011212', '9940.ENSOARP00000021436']",['9986.ENSOCUP00000014808']
OG0000863,"['10090.ENSMUSP00000004453', '10090.ENSMUSP00000081011', '10090.ENSMUSP00000106117']","['10181.XP_004836711.1', '10181.XP_004840781.1', '10181.XP_004847944.1', '10181.XP_004921155.1']","['29073.XP_008690716.1', '29073.XP_008709730.1', '29073.XP_008709732.1']","['6239.C11E4.1', '6239.C11E4.2', '6239.Y94H6A.4']",[],"['7955.ENSDARP00000026046', '7955.ENSDARP00000123697']","['9544.ENSMMUP00000006144', '9544.ENSMMUP00000006145']","['9606.ENSP00000354581', '9606.ENSP00000373477', '9606.ENSP00000392398']","['9685.ENSFCAP00000003112', '9685.ENSFCAP00000011939', '9685.ENSFCAP00000017278']","['9785.ENSLAFP00000013318', '9785.ENSLAFP00000013320', '9785.ENSLAFP00000015785']","['9913.ENSBTAP00000015939', '9913.ENSBTAP00000053146', '9913.ENSBTAP00000056156']","['9940.ENSOARP00000008509', '9940.ENSOARP00000018884', '9940.ENSOARP00000018953']","['9986.ENSOCUP00000014463', '9986.ENSOCUP00000026241']"
OG0002707,"['10090.ENSMUSP00000081010', '10090.ENSMUSP00000081012']","['10181.XP_004834084.1', '10181.XP_004837450.1', '10181.XP_004909741.1']","['29073.XP_008699110.1', '29073.XP_008702346.1']",[],[],"['7955.ENSDARP00000011398', '7955.ENSDARP00000020656']","['9544.ENSMMUP00000017012', '9544.ENSMMUP00000028953']","['9606.ENSP00000374265', '9606.ENSP00000407375']",['9685.ENSFCAP00000018352'],"['9785.ENSLAFP00000008150', '9785.ENSLAFP00000008607']",['9913.ENSBTAP00000055144'],['9940.ENSOARP00000022740'],"['9986.ENSOCUP00000005141', '9986.ENSOCUP00000011468']"
OG0002956,['10090.ENSMUSP00000094863'],['10181.XP_004866035.1'],['29073.XP_008709582.1'],"['6239.F26E4.12', '6239.F55A3.5', '6239.R03G5.5a', '6239.R05H10.5b.1', '6239.T09A12.2b']","['7227.FBpp0072932', '7227.FBpp0085780']","['7955.ENSDARP00000103087', '7955.ENSDARP00000123037']",['9544.ENSMMUP00000032020'],['9606.ENSP00000346103'],['9685.ENSFCAP00000022468'],[],['9913.ENSBTAP00000054608'],"['9940.ENSOARP00000011856', '9940.ENSOARP00000018126']",[]
OG0007287,['10090.ENSMUSP00000030296'],['10181.XP_004869308.1'],['29073.XP_008697427.1'],"['6239.F49H12.5', '6239.Y57A10A.23']",[],['7955.ENSDARP00000056898'],['9544.ENSMMUP00000004381'],['9606.ENSP00000360688'],['9685.ENSFCAP00000021767'],['9785.ENSLAFP00000013524'],['9913.ENSBTAP00000014645'],[],['9986.ENSOCUP00000001698']
OG0003068,"['10090.ENSMUSP00000071636', '10090.ENSMUSP00000133276']",['10181.XP_004853478.1'],['29073.XP_008694657.1'],['6239.Y38C1AA.11'],"['7227.FBpp0077368', '7227.FBpp0087354', '7227.FBpp0087356', '7227.FBpp0087406']",['7955.ENSDARP00000063876'],['9544.ENSMMUP00000011500'],['9606.ENSP00000342026'],['9685.ENSFCAP00000020904'],['9785.ENSLAFP00000027824'],['9913.ENSBTAP00000006383'],['9940.ENSOARP00000012635'],['9986.ENSOCUP00000013074']
OG0003150,['10090.ENSMUSP00000141022'],['10181.XP_004862821.1'],['29073.XP_008683869.1'],"['6239.C07G1.8', '6239.DY3.5', '6239.ZC334.7', '6239.ZK121.1a']","['7227.FBpp0071631', '7227.FBpp0300970']",['7955.ENSDARP00000126108'],['9544.ENSMMUP00000029816'],['9606.ENSP00000356410'],['9685.ENSFCAP00000016950'],['9785.ENSLAFP00000012401'],['9913.ENSBTAP00000021249'],['9940.ENSOARP00000010044'],['9986.ENSOCUP00000011401']
OG0002426,['10090.ENSMUSP00000022082'],['10181.XP_004841760.1'],['29073.XP_008699100.1'],"['6239.F10D7.3', '6239.Y34D9A.6']",[],['7955.ENSDARP00000120838'],['9544.ENSMMUP00000007028'],['9606.ENSP00000369314'],['9685.ENSFCAP00000021229'],"['9785.ENSLAFP00000000764', '9785.ENSLAFP00000026921', '9785.ENSLAFP00000029188']","['9913.ENSBTAP00000001575', '9913.ENSBTAP00000015500', '9913.ENSBTAP00000051774', '9913.ENSBTAP00000051886', '9913.ENSBTAP00000051922', '9913.ENSBTAP00000052392']","['9940.ENSOARP00000010118', '9940.ENSOARP00000020057']","['9986.ENSOCUP00000013612', '9986.ENSOCUP00000018703']"
OG0001611,"['10090.ENSMUSP00000020980', '10090.ENSMUSP00000022901']","['10181.XP_004850288.1', '10181.XP_004870024.1']","['29073.XP_008686643.1', '29073.XP_008687444.1']",['6239.C03C10.3'],['7227.FBpp0087152'],"['7955.ENSDARP00000008907', '7955.ENSDARP00000050749', '7955.ENSDARP00000103553']","['9544.ENSMMUP00000002749', '9544.ENSMMUP00000027327']","['9606.ENSP00000251810', '9606.ENSP00000353770']","['9685.ENSFCAP00000003637', '9685.ENSFCAP00000021709']","['9785.ENSLAFP00000012370', '9785.ENSLAFP00000024779']","['9913.ENSBTAP00000010802', '9913.ENSBTAP00000028260']","['9940.ENSOARP00000016451', '9940.ENSOARP00000019337']","['9986.ENSOCUP00000005042', '9986.ENSOCUP00000007386']"
OG0005377,['10090.ENSMUSP00000033283'],['10181.XP_004863391.1'],['29073.XP_008705630.1'],['6239.T23G5.1.1'],['7227.FBpp0079648'],['7955.ENSDARP00000010800'],['9544.ENSMMUP00000005291'],['9606.ENSP00000300738'],['9685.ENSFCAP00000021910'],['9785.ENSLAFP00000007097'],['9913.ENSBTAP00000017428'],['9940.ENSOARP00000001360'],['9986.ENSOCUP00000011509']
